Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
11,0,0,0.007506573417816,7,5561,2193,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.020749306583561,30,3681,513,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.044044145353967,90,3059,172,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.076611640544865,182,1825,86,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.089940393039836,365,1452,44,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.117108837062706,730,1186,23,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.142325089987282,3652,753,6,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,1,0,1,12226,15341,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.002718704954428,2,8576,7671,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.011358435814548,7,5639,2193,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.032586663382108,30,3710,513,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.077539021937317,90,3079,172,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.158580250661577,182,1109,86,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.171998734496119,365,691,44,469,354.267794221101,0.035006699033706,10120,0.046343873517787
11,0,1,0.20765055238071,730,472,23,469,354.267794221101,0.035006699033706,10120,0.046343873517787
